"Frame 394","Rich Williamson","Canada","2016","30 min","https://www.idfa.nl/en/film/d60c9cdc-37bc-4586-bdfe-f1d0740b4405/frame-394?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"A French Laundry","Elisabeth Vogler","France","2014","45 min","https://www.idfa.nl/en/film/70505d3b-d892-4a65-b737-dfb033a1ec7f/a-french-laundry?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Gatekeeper","Yung Chang","Canada, United States","2016","39 min","https://www.idfa.nl/en/film/af7aa1bd-097d-4e44-b111-879cbdbe9ce7/gatekeeper?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Gates of Aleppo","Wolfswift, Georg Hobmeier, Joshua Hollendonner","Austria, Syria","2020","8 min","https://www.idfa.nl/en/film/a0d6c632-e48e-499b-b2d9-ccb8bc5e1c79/gates-of-aleppo?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"George Wallace: Settin' the Woods on Fire","Daniel McCabe, Paul Stekler","United States","2000","160 min","https://www.idfa.nl/en/film/a4621e47-cfb5-4d82-b81b-56da8cd27675/george-wallace-settin-the-woods-on-fire?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Give Us the Money","Bosse Lindquist","Sweden","2012","58 min","https://www.idfa.nl/en/film/42e3adff-a61e-4d20-b13c-07d71ff84cc4/give-us-the-money?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Glasfäden","Ben Wahl","Austria, Germany","2022","35 min","https://www.idfa.nl/en/film/0a0e421e-4a27-42ea-bfff-e8a207c34e19/glasfäden?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Glimpse","Alberto Iannuzzi, Dan Jawitz","South Africa","2005","26 min","https://www.idfa.nl/en/film/af3c3a7c-9386-4dca-9fc0-a07654bcbd74/glimpse?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Goliath: Playing with Reality","Barry Gene Murphy, May Abdalla","United Kingdom, France","2021","25 min","https://www.idfa.nl/en/film/4d80b2e8-4204-45c3-b450-a70b0081b7b9/goliath-playing-with-reality?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Graffiti Archaeology","Cassidy Curtis","United States","2002","15 min","https://www.idfa.nl/en/film/936c5c33-b392-4588-80fb-15436af5e05d/graffiti-archaeology?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Great Abandonment","Shirley Abraham, Amit Madheshiya","India","2021","30 min","https://www.idfa.nl/en/film/fe982cd9-5f21-47e8-b15c-abafb9a3e1e9/the-great-abandonment?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Greenland Melting","Catherine Upin, Julia Cort, Nonny de la Peña, Raney Aronson-Rath","United States","2017","12 min","https://www.idfa.nl/en/film/0c93980b-a15b-40fd-857a-958a4ebb04a6/greenland-melting?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Guaxuma","Nara Normande","France, Brazil","2018","15 min","https://www.idfa.nl/en/film/9f3d1b5a-7ebf-42e2-b12d-d9d5681999af/guaxuma?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Hairat","Jessica Beshir","Ethiopia, United States, Mexico","2017","7 min","https://www.idfa.nl/en/film/0a053b45-10a1-4c42-a2d2-25c25fe495bc/hairat?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Hanging","Geoffrey Feinberg","United States, Russia, Germany","2016","15 min","https://www.idfa.nl/en/film/0b3b5649-78b6-4308-bc3a-13ce63f59e94/the-hanging?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Happily Ever After","Ayman El Amir, Nada Riyadh","Egypt","2016","71 min","https://www.idfa.nl/en/film/b8c231fd-43aa-4256-a149-d5132edc65ad/happily-ever-after?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
